target_year,init_month,analog_year
2566,1,2544
2566,2,2544
2566,3,2544
2566,4,2544
2566,5,2544
2566,6,2544
2566,7,2544
2566,8,2544
2566,9,2544
2566,10,2515
2566,11,2515
2566,12,2515
2567,1,2516
2567,2,2516
2567,3,2516
2567,4,2516
2567,5,2516
2567,6,2516
2567,7,2516
2567,8,2516
2567,9,2516
2567,10,2516
2567,11,2516
2567,12,2516
2568,1,2542
2568,2,2542
2568,3,2542
2568,4,2542
2568,5,2542
2568,6,2542
2568,7,2542
2568,8,2542
2568,9,2542
2568,10,2542
2568,11,2542
2568,12,2542
2569,1,2555
2569,2,2555
2569,3,2555
